Loan Identifier,Monthly Reporting Period,Channel,Original Interest Rate,Current Interest Rate,Original UPB,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Remaining Months To Maturity,Original Loan to Value Ratio (LTV),Debt-To-Income (DTI),Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Metropolitan Statistical Area (MSA),Zip Code Short,Interest Only Loan Indicator,Current Loan Delinquency Status,Modification Flag,Zero Balance Code,Special Eligibility Program,Property Valuation Method,High Balance Loan Indicator,Unemployment_rate,Divorce_rate,Inflation_rate,EMI,UPB_diff,Interest_Component,Previous_UPB,Remaining MFM
100001889356,92011,2,4.625,4.625,115000.0,112910.49,240,12011,32011,233.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.9,3.6,3.9,735.3291765936191,299.66999999999825,435.1758468750001,113210.16,232
100001889356,102011,2,4.625,4.625,115000.0,112595.67,240,12011,32011,232.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.9,3.6,3.5,735.3291765936191,314.820000000007,433.962478125,112910.49,231
100001889356,112011,2,4.625,4.625,115000.0,112294.3,240,12011,32011,231.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.9,3.6,3.4,735.3291765936191,301.36999999999534,432.8009479166667,112595.67,230
100001889356,122011,2,4.625,4.625,115000.0,111991.77,240,12011,32011,230.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.9,3.6,3.0,735.3291765936191,302.52999999999884,431.634946875,112294.3,229
100001889356,12012,2,4.625,4.625,115000.0,111683.4,240,12011,32011,229.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.1,3.4,2.9,735.3291765936191,308.3700000000099,430.4464375,111991.77,228
100001889356,22012,2,4.625,4.625,115000.0,111373.85,240,12011,32011,228.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.1,3.4,2.9,735.3291765936191,309.5499999999884,429.2533802083333,111683.4,227
100001889356,32012,2,4.625,4.625,115000.0,111063.1,240,12011,32011,227.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.1,3.4,2.7,735.3291765936191,310.75,428.0556979166667,111373.85,226
100001889356,42012,2,4.625,4.625,115000.0,110751.16,240,12011,32011,226.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.1,3.4,2.3,735.3291765936191,311.9400000000023,426.8534291666667,111063.1,225
100001889356,52012,2,4.625,4.625,115000.0,110442.68,240,12011,32011,225.0,68,34,705,0,0,4,1,1,0,613,0,0,0.0,0.0,0,4.0,0,8.1,3.4,1.7,735.3291765936191,308.4800000000105,425.6644958333333,110751.16,224
100006453372,102011,1,4.375,4.375,175000.0,173089.92,360,12011,32011,352.0,52,29,776,0,0,3,1,2,0,859,0,0,0.0,0.0,0,4.0,0,8.9,3.6,3.5,873.7492010365665,241.80999999999767,631.057,173331.73,351
100006453372,112011,1,4.375,4.375,175000.0,172847.23,360,12011,32011,351.0,52,29,776,0,0,3,1,2,0,859,0,0,0.0,0.0,0,4.0,0,8.9,3.6,3.4,873.7492010365665,242.6900000000024,630.1721927083333,173089.92,350
100006453372,122011,1,4.375,4.375,175000.0,172603.65,360,12011,32011,350.0,52,29,776,0,0,3,1,2,0,859,0,0,0.0,0.0,0,4.0,0,8.9,3.6,3.0,873.7492010365665,243.5800000000163,629.284140625,172847.23,349
100006453372,12012,1,4.375,4.375,175000.0,172359.18,360,12011,32011,349.0,52,29,776,0,0,3,1,2,0,859,0,0,0.0,0.0,0,4.0,0,8.1,3.4,2.9,873.7492010365665,244.4700000000012,628.39284375,172603.65,348
100006453372,22012,1,4.375,4.375,175000.0,172113.82,360,12011,32011,348.0,52,29,776,0,0,3,1,2,0,859,0,0,0.0,0.0,0,4.0,0,8.1,3.4,2.9,873.7492010365665,245.35999999998603,627.4983020833333,172359.18,347
100006453372,32012,1,4.375,4.375,175000.0,171867.57,360,12011,32011,347.0,52,29,776,0,0,3,1,2,0,859,0,0,0.0,0.0,0,4.0,0,8.1,3.4,2.7,873.7492010365665,246.25,626.6005156250001,172113.82,346
